Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
1,3,8,13,11,24,5,28,3,4
0,0,7,11,12,23,3,4,6,34
0,0,8,11,13,22,3,4,5,34
0,1,8,11,16,21,2,4,4,33
3,5,6,7,12,1,27,31,4,4
0,6,7,11,12,22,3,26,6,7
0,1,11,0,1,1,23,27,1,35
1,1,2,14,3,3,22,24,26,4
2,1,8,1,1,1,25,27,1,33
0,0,8,12,14,22,3,3,6,32
1,1,12,1,1,2,21,30,2,29
0,0,8,13,13,22,3,3,6,32
1,2,4,5,17,1,26,32,6,6
1,1,9,12,16,2,23,3,30,3
0,1,9,13,18,2,22,4,3,28
0,0,8,13,17,23,4,3,5,27
4,6,8,9,13,22,0,30,3,5
0,1,9,0,2,23,2,4,26,33
1,1,5,8,6,13,27,28,6,5
0,0,0,14,0,22,0,32,1,31
0,1,1,10,3,21,4,28,4,28
0,0,12,1,1,1,25,30,0,30
3,5,7,12,12,1,26,29,2,3
5,6,7,7,13,22,27,4,4,5
2,2,2,11,11,16,21,29,3,3
1,4,7,10,14,2,26,3,29,4
2,5,8,14,2,2,2,32,2,31
1,1,1,11,2,18,2,26,4,34
3,5,8,9,13,2,26,30,2,2
1,1,8,12,16,3,24,29,3,3
1,2,5,13,6,22,4,5,6,36
0,0,9,13,16,21,3,3,1,34
0,7,1,14,17,1,25,1,1,33
5,3,3,13,13,2,2,30,3,26
0,7,1,1,18,24,22,22,3,2
0,1,11,2,2,23,3,3,33,22
0,1,9,3,3,24,6,8,37,9
0,6,0,10,2,20,25,3,31,3
0,1,1,1,14,19,23,2,3,36
0,1,9,3,4,23,6,9,35,10
1,0,11,2,1,0,25,27,0,33
0,0,10,14,17,22,1,2,2,32
2,2,2,3,3,11,16,31,3,27
0,1,1,12,18,1,3,4,33,27
2,2,5,5,2,25,25,28,1,5
0,6,1,10,1,23,26,1,28,4
1,2,3,20,4,23,26,6,7,8
1,1,8,12,15,2,21,2,36,2
0,0,1,12,19,1,2,3,35,27
2,2,6,9,7,14,18,29,7,6
0,2,0,5,15,21,21,2,6,28
0,0,1,15,1,1,24,26,31,1
5,7,9,11,15,21,25,2,2,3
1,1,3,7,12,15,25,30,5,1
0,1,1,14,17,1,3,3,35,25
0,0,13,14,15,16,2,3,3,34
1,2,3,12,6,21,6,21,7,21
5,2,2,2,2,2,2,30,26,27
2,2,10,2,18,18,20,24,2,2
0,1,8,0,1,23,1,4,35,27
1,2,12,1,1,24,1,1,27,30
0,1,0,15,17,2,4,2,35,24
0,8,4,4,20,24,3,33,1,3
2,2,3,12,16,4,4,4,26,27
0,5,7,0,16,3,5,27,0,37
0,0,1,1,4,22,21,25,23,3
0,0,11,1,1,23,2,3,32,27
2,1,12,1,1,24,1,1,27,30
0,0,0,18,0,24,0,28,0,30
0,1,7,2,2,23,3,3,34,25
1,1,1,14,14,2,3,3,34,27
0,0,0,11,19,3,4,4,30,29
0,0,0,12,1,1,24,29,32,1
0,0,0,15,5,5,25,20,22,8
0,0,0,13,16,1,1,3,33,33
2,6,9,13,16,21,24,3,3,3
0,0,0,13,18,1,1,1,33,33
2,10,11,12,13,2,21,22,4,3
1,3,3,3,15,18,3,24,27,3
0,0,0,14,3,16,4,27,0,36
0,0,1,12,18,1,3,1,32,32
0,8,0,0,20,24,18,28,1,1
0,0,0,13,20,1,1,1,36,28
0,0,0,11,18,2,3,3,36,27
3,6,7,10,12,2,27,29,3,1
0,0,4,1,1,1,25,34,1,33
2,2,3,12,20,12,7,22,9,11
0,0,7,1,1,23,3,3,36,26
1,3,3,5,11,18,26,22,4,7
3,5,1,14,1,21,24,29,1,1
0,0,0,1,20,22,1,26,28,2
2,5,2,12,17,2,25,2,31,2
0,0,2,2,22,22,22,1,1,28
6,0,0,0,0,0,0,32,31,31
2,2,2,5,9,19,24,3,3,31
0,0,0,0,14,24,2,25,34,1
0,0,3,13,17,3,3,3,34,24
1,2,5,6,20,15,20,20,7,4
0,1,1,8,2,2,24,27,33,2
1,3,12,1,1,24,1,1,26,30
0,0,1,1,1,21,21,31,20,4
1,1,1,14,4,4,10,25,4,36
1,5,1,12,1,17,3,23,3,34
0,1,1,1,15,16,1,37,26,2
5,7,11,13,15,20,23,2,2,2
4,4,4,13,20,14,18,4,4,15
0,0,11,0,3,3,28,8,10,37
0,0,1,12,1,24,2,3,34,23
4,0,0,0,0,0,0,32,32,32
2,2,3,7,11,8,31,3,30,3
0,0,12,0,4,4,22,24,0,34
1,1,9,15,12,16,8,7,8,23
1,1,1,21,2,2,22,23,24,3
1,1,2,12,15,3,4,4,32,26
1,2,4,13,17,1,1,4,33,24
2,2,7,3,3,3,19,21,3,37
4,1,10,13,18,0,25,28,0,1
1,1,12,1,18,18,21,26,1,1
1,1,1,1,16,18,1,28,32,1
1,6,5,2,7,4,18,23,4,30
4,0,0,0,0,0,0,32,32,32
0,0,0,1,1,21,26,27,21,3
0,0,10,1,20,20,22,23,2,2
1,5,8,13,1,1,2,2,34,33
0,2,0,2,11,21,25,2,0,37
1,1,1,8,17,2,3,4,34,29
2,2,2,16,17,18,19,20,2,2
6,4,5,13,8,19,1,23,9,12
0,0,13,0,0,0,20,28,0,39
0,0,11,0,0,0,19,35,0,35
1,1,1,11,1,1,17,28,38,1
0,0,0,0,20,25,18,0,0,37
2,2,2,3,3,21,21,7,8,31
0,0,18,1,1,0,21,29,0,30
0,0,4,14,4,14,5,4,25,30
2,3,4,14,19,24,28,2,2,2
0,0,0,0,24,24,2,24,24,2
0,0,10,10,15,26,5,0,0,34
2,2,16,17,2,18,19,20,2,2
4,6,6,16,20,22,23,1,1,1
8,0,0,0,0,0,0,27,33,32
1,4,1,7,12,18,24,5,2,26
1,1,2,2,2,16,18,28,0,30
0,0,0,19,0,0,27,27,27,0
2,1,13,14,6,20,21,20,1,2
1,2,9,2,22,4,4,12,38,6
0,1,2,1,4,12,14,26,34,6
1,0,2,16,1,5,24,24,27,0
10,5,5,5,5,5,5,30,10,20
0,0,9,0,0,0,20,36,0,35
0,0,0,0,15,20,23,1,1,40
1,1,5,10,11,20,22,2,2,26
0,5,2,11,2,17,5,23,6,29
1,2,8,1,5,5,14,19,8,37
0,7,3,4,1,0,22,1,31,31
1,2,8,1,5,5,14,19,8,37
0,2,1,2,18,0,22,22,0,33
0,0,0,18,4,0,20,20,34,4
0,6,0,0,16,22,26,30,0,0
0,0,1,1,1,24,24,24,24,1
3,3,2,10,15,18,21,26,1,1
0,0,5,0,20,20,25,0,0,30
0,2,3,1,14,21,1,26,31,1
1,1,16,16,1,16,16,31,1,1
0,2,10,15,20,21,16,6,5,5
3,4,2,11,12,14,24,2,26,2
3,7,5,11,13,14,6,8,26,7
1,7,1,1,13,15,30,30,1,1
0,0,1,2,19,17,5,16,37,3
2,3,5,7,14,7,30,30,1,1
2,2,5,5,10,20,20,21,10,5
3,6,10,14,18,21,25,1,1,1
0,0,0,0,14,21,0,33,32,0
6,7,7,9,19,21,28,1,1,1
0,0,0,0,15,22,0,32,31,0
1,11,1,1,16,16,26,26,1,1
0,0,0,0,24,24,1,25,25,1
2,2,2,22,22,2,2,2,22,22
0,10,0,0,0,0,0,30,30,30
0,1,2,13,15,1,5,26,35,2
2,11,2,2,17,17,17,21,3,6
1,4,1,10,1,23,28,1,30,1
0,0,0,0,18,21,0,29,32,0
0,0,0,0,18,21,0,29,32,0
0,1,1,15,1,32,0,29,1,20
4,7,11,18,22,2,3,22,7,4
0,0,0,0,21,22,0,26,31,0
1,1,1,2,16,16,2,18,35,8
2,2,2,14,0,19,0,25,0,36
4,5,6,7,15,16,17,10,10,10
4,6,4,11,12,4,9,4,34,12
0,0,1,4,2,1,27,32,31,2
0,0,8,12,0,21,25,34,0,0
7,2,2,2,12,22,1,26,25,1
6,1,1,1,1,1,1,26,21,41
1,6,3,10,5,20,0,25,0,30
1,1,1,2,4,5,15,35,35,1
6,6,6,26,26,6,6,6,6,6
2,7,7,7,7,7,7,7,8,41
3,4,5,6,7,17,34,17,4,3
1,2,3,17,5,6,18,18,20,10
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,28,31,31
0,0,0,2,3,24,11,20,34,6
1,10,5,2,15,18,22,25,1,1
0,0,3,4,18,3,4,4,36,28
3,3,3,4,3,3,3,26,26,26
4,0,13,4,5,19,1,22,1,31
0,0,0,0,21,21,0,29,29,0
5,7,11,14,18,22,20,1,1,1
1,1,16,16,1,21,21,21,1,1
2,5,7,11,12,13,18,16,10,6
0,2,4,3,10,0,16,3,35,27
2,3,4,3,3,9,3,3,35,35
0,0,0,5,7,5,7,38,37,1
1,1,15,1,1,16,1,1,36,27
0,2,1,2,18,18,13,20,21,5
5,0,0,0,0,0,0,25,35,35
8,1,1,1,6,6,14,27,28,8
4,8,7,8,13,16,4,5,22,13
0,0,0,5,0,0,33,25,32,5
1,3,1,3,4,18,6,23,33,8
0,1,2,17,18,1,2,25,1,33
2,1,2,10,2,5,21,22,22,13
0,2,16,4,4,2,20,1,22,29
1,1,19,17,1,19,19,19,2,2
1,1,4,7,6,15,20,23,13,10
0,0,0,0,25,25,0,25,25,0
0,0,0,0,25,25,0,25,25,0
2,3,4,11,8,19,13,18,7,15
3,5,0,0,19,4,10,27,11,21
1,1,3,4,13,17,7,22,6,26
3,6,6,1,1,1,1,24,27,30
0,0,0,6,19,19,19,0,0,37
0,1,1,14,1,3,13,28,39,0
0,0,6,10,15,0,27,0,41,1
6,5,12,12,14,5,11,14,8,13
0,0,9,9,19,19,21,21,1,1
0,4,10,0,0,0,20,33,33,0
0,1,4,4,1,18,1,1,35,35
0,4,0,8,0,0,8,30,30,20
3,4,4,7,8,9,9,8,8,40
0,0,5,0,18,23,26,28,0,0
2,3,5,8,13,21,23,25,0,0
1,1,2,2,15,1,15,1,31,31
2,2,2,2,2,2,15,24,45,4
0,0,0,0,0,21,22,22,0,35
0,0,0,11,0,0,20,35,34,0
0,6,6,6,6,0,0,0,38,38
6,5,7,7,2,2,22,22,1,26
0,1,3,10,15,13,0,0,32,26
0,0,2,11,11,21,21,34,0,0
2,1,1,9,1,22,1,22,22,19
2,3,3,4,9,10,12,7,7,43
0,0,7,10,0,26,28,29,0,0
1,1,1,1,2,2,3,24,33,32
6,0,0,0,21,21,26,0,26,0
0,0,9,12,15,18,21,24,0,1
2,10,1,5,2,2,14,2,29,33
0,5,0,16,21,0,0,26,32,0
0,0,1,11,1,0,17,35,35,0
0,3,4,9,5,0,12,1,33,33
0,1,2,2,2,2,4,6,41,40
2,11,12,12,8,11,4,13,12,15
5,0,14,19,5,6,8,8,18,17
1,1,2,2,2,5,24,23,24,16
3,5,5,7,12,16,16,16,11,9
0,0,0,0,19,0,14,34,0,33
1,8,12,13,1,12,5,16,8,24
1,1,2,2,4,20,20,20,20,10
7,10,12,14,16,18,20,1,1,1
1,1,1,19,19,19,19,19,1,1
0,0,0,0,15,20,0,25,40,0
0,3,0,6,0,14,19,25,32,1
0,11,11,11,11,11,12,11,11,11
0,0,0,0,20,10,3,4,36,27
1,2,2,2,13,13,13,10,41,3
1,1,1,5,6,7,19,22,10,28
5,5,5,7,6,7,14,25,25,1
4,6,6,13,5,5,10,15,17,19
2,0,0,4,15,6,0,23,24,26
1,1,8,8,5,9,18,19,5,26
5,6,9,21,9,19,11,8,11,1
3,1,1,9,1,1,22,11,25,26
1,1,1,1,24,24,1,17,29,1
1,1,12,12,12,12,12,12,12,13
2,2,2,2,2,2,20,22,24,22
0,0,0,17,18,19,20,26,0,0
0,0,0,0,0,16,22,27,35,0
0,0,7,1,16,17,20,20,18,1
